timestamp,elapsed_seconds,dominant_emotion,confidence,all_emotions,face_box
2025-09-03T18:06:09.589786,17.21,neutral,0.89,"{'angry': 0.01, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.89, 'sad': 0.02, 'surprise': 0.0, 'neutral': 0.07}","[310, 164, 167, 205]"
2025-09-03T18:06:09.745017,17.36,neutral,0.92,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.92, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.07}","[310, 165, 168, 203]"
2025-09-03T18:06:09.901103,17.52,neutral,0.95,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.95, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.04}","[307, 164, 164, 202]"
2025-09-03T18:06:10.055656,17.67,neutral,0.97,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.97, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.02}","[309, 167, 162, 200]"
2025-09-03T18:06:10.212183,17.83,neutral,0.8,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.8, 'sad': 0.01, 'surprise': 0.0, 'neutral': 0.19}","[310, 167, 160, 200]"
2025-09-03T18:06:10.379067,18.0,happy,0.89,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.89, 'sad': 0.01, 'surprise': 0.0, 'neutral': 0.1}","[322, 174, 154, 193]"
2025-09-03T18:06:10.535556,18.15,happy,0.92,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.92, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.08}","[326, 181, 156, 191]"
2025-09-03T18:06:10.689655,18.31,happy,0.77,"{'angry': 0.01, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.77, 'sad': 0.02, 'surprise': 0.0, 'neutral': 0.2}","[327, 187, 160, 200]"
2025-09-03T18:06:10.845003,18.46,happy,0.66,"{'angry': 0.01, 'disgust': 0.0, 'fear': 0.01, 'happy': 0.27, 'sad': 0.05, 'surprise': 0.0, 'neutral': 0.66}","[327, 178, 160, 208]"
2025-09-03T18:06:11.016289,18.63,happy,0.5,"{'angry': 0.05, 'disgust': 0.0, 'fear': 0.01, 'happy': 0.5, 'sad': 0.12, 'surprise': 0.0, 'neutral': 0.32}","[330, 176, 158, 209]"
2025-09-03T18:06:11.188263,18.81,happy,0.56,"{'angry': 0.08, 'disgust': 0.0, 'fear': 0.03, 'happy': 0.16, 'sad': 0.18, 'surprise': 0.0, 'neutral': 0.56}","[331, 175, 160, 206]"
2025-09-03T18:06:11.401615,19.02,happy,0.56,"{'angry': 0.02, 'disgust': 0.0, 'fear': 0.01, 'happy': 0.23, 'sad': 0.19, 'surprise': 0.0, 'neutral': 0.56}","[326, 174, 160, 196]"
2025-09-03T18:06:11.551764,19.17,happy,0.71,"{'angry': 0.02, 'disgust': 0.0, 'fear': 0.01, 'happy': 0.71, 'sad': 0.04, 'surprise': 0.0, 'neutral': 0.23}","[328, 174, 159, 208]"
